# WHO ATC 5단계 코드 -> 영문 성분명 (구분자: |, 줄바꿈: LF)
# 출처: WHO ATC/DDD Index. 성분명에 쉼표가 있어 파이프 구분자를 사용한다.
atc_code|ingredient_en|is_combination
A01AA01|sodium fluoride|N
A01AA02|sodium monofluorophosphate|N
A01AA03|olaflur|N
A01AA04|stannous fluoride|N
A01AA30|combinations|N
A01AA51|sodium fluoride|Y
A01AB02|hydrogen peroxide|N
A01AB03|chlorhexidine|N
A01AB04|amphotericin B|N
A01AB05|polynoxylin|N
A01AB06|domiphen|N
A01AB07|oxyquinoline|N
A01AB08|neomycin|N
A01AB09|miconazole|N
A01AB10|natamycin|N
A01AB11|various|N
A01AB12|hexetidine|N
A01AB13|tetracycline|N
A01AB14|benzoxonium chloride|N
A01AB15|tibezonium iodide|N
A01AB16|mepartricin|N
A01AB17|metronidazole|N
A01AB18|clotrimazole|N
A01AB19|sodium perborate|N
A01AB21|chlortetracycline|N
A01AB22|doxycycline|N
A01AB23|minocycline|N
A01AC01|triamcinolone|N
A01AC02|dexamethasone|N
A01AC03|hydrocortisone|N
A01AC54|prednisolone|Y
A01AD01|epinephrine|N
A01AD02|benzydamine|N
A01AD05|acetylsalicylic acid|N
A01AD06|adrenalone|N
A01AD07|amlexanox|N
A01AD08|becaplermin|N
A01AD11|various|N
A02AA01|magnesium carbonate|N
A02AA02|magnesium oxide|N
A02AA03|magnesium peroxide|N
A02AA04|magnesium hydroxide|N
A02AA05|magnesium silicate|N
A02AA10|combinations|N
A02AB01|aluminium hydroxide|N
A02AB02|algeldrate|N
A02AB03|aluminium phosphate|N
A02AB04|dihydroxialumini sodium carbonate|N
A02AB05|aluminium acetoacetate|N
A02AB06|aloglutamol|N
A02AB07|aluminium glycinate|N
A02AB10|combinations|N
A02AC01|calcium carbonate|N
A02AC02|calcium silicate|N
A02AC10|combinations|N
A02AD01|ordinary salt combinations|N
A02AD02|magaldrate|N
A02AD03|almagate|N
A02AD04|hydrotalcite|N
A02AD05|almasilate|N
A02AF01|magaldrate and antiflatulents|N
A02AF02|ordinary salt combinations and antiflatulents|N
A02BA01|cimetidine|N
A02BA02|ranitidine|N
A02BA03|famotidine|N
A02BA04|nizatidine|N
A02BA05|niperotidine|N
A02BA06|roxatidine|N
A02BA07|ranitidine bismuth citrate|N
A02BA08|lafutidine|N
A02BA51|cimetidine|Y
A02BA53|famotidine|Y
A02BB01|misoprostol|N
A02BB02|enprostil|N
A02BC01|omeprazole|N
A02BC02|pantoprazole|N
A02BC03|lansoprazole|N
A02BC04|rabeprazole|N
A02BC05|esomeprazole|N
A02BC06|dexlansoprazole|N
A02BC07|dexrabeprazole|N
A02BC08|vonoprazan|N
A02BC53|lansoprazole|Y
A02BC54|rabeprazole|Y
A02BD01|omeprazole, amoxicillin and metronidazole|N
A02BD02|lansoprazole, tetracycline and metronidazole|N
A02BD03|lansoprazole, amoxicillin and metronidazole|N
A02BD04|pantoprazole, amoxicillin and clarithromycin|N
A02BD05|omeprazole, amoxicillin and clarithromycin|N
A02BD06|esomeprazole, amoxicillin and clarithromycin|N
A02BD07|lansoprazole, amoxicillin and clarithromycin|N
A02BD08|bismuth subcitrate, tetracycline and metronidazole|N
A02BD09|lansoprazole, clarithromycin and tinidazole|N
A02BD10|lansoprazole, amoxicillin and levofloxacin|N
A02BD11|pantoprazole, amoxicillin, clarithromycin and metronidazole|N
A02BD12|rabeprazole, amoxicillin and clarithromycin|N
A02BD13|rabeprazole, amoxicillin and metronidazole|N
A02BD14|vonoprazan, amoxicillin and clarithromycin|N
A02BD15|vonoprazan, amoxicillin and metronidazole|N
A02BX01|carbenoxolone|N
A02BX02|sucralfate|N
A02BX03|pirenzepine|N
A02BX04|methiosulfonium chloride|N
A02BX05|bismuth subcitrate|N
A02BX06|proglumide|N
A02BX07|gefarnate|N
A02BX08|sulglicotide|N
A02BX09|acetoxolone|N
A02BX10|zolimidine|N
A02BX11|troxipide|N
A02BX12|bismuth subnitrate|N
A02BX13|alginic acid|N
A02BX14|rebamipide|N
A02BX51|carbenoxolone|Y
A02BX71|carbenoxolone|Y
A02BX77|gefarnate|Y
A03AA01|oxyphencyclimine|N
A03AA03|camylofin|N
A03AA04|mebeverine|N
A03AA05|trimebutine|N
A03AA06|rociverine|N
A03AA07|dicycloverine|N
A03AA08|dihexyverine|N
A03AA09|difemerine|N
A03AA30|piperidolate|N
A03AB01|benzilone|N
A03AB02|glycopyrronium bromide|N
A03AB03|oxyphenonium|N
A03AB04|penthienate|N
A03AB05|propantheline|N
A03AB06|otilonium bromide|N
A03AB07|methantheline|N
A03AB08|tridihexethyl|N
A03AB09|isopropamide|N
A03AB10|hexocyclium|N
A03AB11|poldine|N
A03AB12|mepenzolate|N
A03AB13|bevonium|N
A03AB14|pipenzolate|N
A03AB15|diphemanil|N
A03AB16|(2-benzhydryloxyethyl)diethyl-methylammonium iodide|N
A03AB17|tiemonium iodide|N
A03AB18|prifinium bromide|N
A03AB19|timepidium bromide|N
A03AB21|fenpiverinium|N
A03AB53|oxyphenonium|Y
A03AC02|dimethylaminopropionylphenothiazine|N
A03AC04|nicofetamide|N
A03AC05|tiropramide|N
A03AD01|papaverine|N
A03AD02|drotaverine|N
A03AD30|moxaverine|N
A03AE01|alosetron|N
A03AE03|cilansetron|N
A03AX01|fenpiprane|N
A03AX02|diisopromine|N
A03AX03|chlorbenzoxamine|N
A03AX04|pinaverium|N
A03AX05|fenoverine|N
A03AX06|idanpramine|N
A03AX07|proxazole|N
A03AX08|alverine|N
A03AX09|trepibutone|N
A03AX10|isometheptene|N
A03AX11|caroverine|N
A03AX12|phloroglucinol|N
A03AX13|silicones|N
A03AX14|valethamate|N
A03AX15|menthae piperitae aetheroleum|N
